FIPS	NAICS8	DATA
54011	11211100	1596.0000
54011	11210000	2452.0000
54011	11210003	1605.0000
54011	11212000	9.0000
54011	11210004	847.0000
21031	11211100	6964.5500
21031	11210000	13421.0000
21031	11210003	7235.0000
21031	11212000	270.4500
21031	11210004	6186.0000
26075	11211100	2522.0000
26075	11210000	13249.0000
26075	11210003	6502.0000
26075	11212000	3980.0000
26075	11210004	6747.0000
29025	11211100	16828.0000
29025	11210000	30004.0000
29025	11210003	16898.0000
29025	11212000	70.0000
29025	11210004	13106.0000
46091	11211100	32304.2200
46091	11210000	92515.0000
46091	11210003	51958.0000
46091	11212000	19653.7800
46091	11210004	40557.0000
04001	11211100	23818.5400
04001	11210000	38995.0000
04001	11210003	23829.0000
04001	11212000	10.4600
04001	11210004	15166.0000
37177	11211100	327.0000
37177	11210000	407.0000
37177	11210003	327.0000
37177	11210004	80.0000
48043	11211100	14885.5900
48043	11210000	27416.0000
48043	11210003	14901.0000
48043	11212000	15.4100
48043	11210004	12515.0000
48087	11211100	10591.0000
48087	11210000	19812.0000
48087	11210003	10591.0000
48087	11210004	9221.0000
48449	11211100	18663.0000
48449	11210000	28573.0000
48449	11210003	18663.0000
48449	11210004	9910.0000
49053	11211100	8564.0000
49053	11210000	12670.0000
49053	11210003	8583.0000
49053	11212000	19.0000
49053	11210004	4087.0000
51165	11211100	26349.0000
51165	11210000	111162.0000
51165	11210003	54878.0000
51165	11212000	28529.0000
51165	11210004	56284.0000
13311	11211100	2888.1900
13311	11210000	7114.0000
13311	11210003	2903.0000
13311	11212000	14.8100
13311	11210004	4211.0000
27147	11211100	2143.0000
27147	11210000	13069.0000
27147	11210003	5661.0000
27147	11212000	3518.0000
27147	11210004	7408.0000
38011	11211100	22682.0000
38011	11210000	38521.0000
38011	11210003	22686.0000
38011	11212000	4.0000
38011	11210004	15835.0000
17101	11211100	1172.0000
17101	11210000	2753.0000
17101	11210003	1263.0000
17101	11212000	91.0000
17101	11210004	1490.0000
17091	11211100	1142.0000
17091	11210000	2985.0000
17091	11210003	1471.0000
17091	11212000	329.0000
17091	11210004	1514.0000
26135	11211100	383.0000
26135	11210000	2514.0000
26135	11210003	1127.0000
26135	11212000	744.0000
26135	11210004	1387.0000
55081	11211100	8222.0000
55081	11210000	68288.0000
55081	11210003	34531.0000
55081	11212000	26309.0000
55081	11210004	33757.0000
17061	11211100	7920.7300
17061	11210000	15946.0000
17061	11210003	7931.0000
17061	11212000	10.2700
17061	11210004	8015.0000
19163	11211100	4381.0000
19163	11210000	20394.0000
19163	11210003	4893.0000
19163	11212000	512.0000
19163	11210004	15501.0000
32003	11211100	784.0000
32003	11210000	1997.0000
32003	11210003	792.0000
32003	11212000	8.0000
32003	11210004	1205.0000
48199	11211100	5322.0000
48199	11210000	8005.0000
48199	11210003	5322.0000
48199	11210004	2683.0000
12131	11211100	4635.0000
12131	11210000	13345.0000
12131	11210003	4644.0000
12131	11212000	9.0000
12131	11210004	8701.0000
30023	11211100	4845.0000
30023	11210000	7361.0000
30023	11210003	4845.0000
30023	11210004	2516.0000
31177	11211100	5535.0000
31177	11210000	21588.0000
31177	11210003	7025.0000
31177	11212000	1490.0000
31177	11210004	14563.0000
31171	11211100	15527.0000
31171	11210000	27981.0000
31171	11210003	15527.0000
31171	11210004	12454.0000
38039	11211100	9224.0000
38039	11210000	17730.0000
38039	11210003	9227.0000
38039	11212000	3.0000
38039	11210004	8503.0000
41031	11211100	8711.7600
41031	11210000	16844.0000
41031	11210003	9063.0000
41031	11212000	351.2400
41031	11210004	7781.0000
48185	11211100	34946.7900
48185	11210000	57350.0000
48185	11210003	35259.0000
48185	11212000	312.2100
48185	11210004	22091.0000
55131	11211100	1218.0000
55131	11210000	45180.0000
55131	11210003	16508.0000
55131	11212000	15290.0000
55131	11210004	28672.0000
20053	11211100	17982.0000
20053	11210000	33215.0000
20053	11210003	17990.0000
20053	11212000	8.0000
20053	11210004	15225.0000
20027	11211100	14560.0000
20027	11210000	32673.0000
20027	11210003	15179.0000
20027	11212000	619.0000
20027	11210004	17494.0000
26021	11211100	837.0000
26021	11210000	3804.0000
26021	11210003	1949.0000
26021	11212000	1112.0000
26021	11210004	1855.0000
05077	11211100	575.0000
05077	11210000	1202.0000
05077	11210003	575.0000
05077	11210004	627.0000
28083	11211100	86.0000
28083	11210000	125.0000
28083	11210003	86.0000
28083	11210004	39.0000
48267	11211100	8502.0000
48267	11210000	14896.0000
48267	11210003	8502.0000
48267	11210004	6394.0000
54037	11211100	4310.0000
54037	11210000	10426.0000
54037	11210003	5885.0000
54037	11212000	1575.0000
54037	11210004	4541.0000
01113	11211100	4462.0100
01113	11210000	7731.0000
01113	11210003	4482.0000
01113	11212000	19.9900
01113	11210004	3249.0000
31107	11211100	51039.0000
31107	11210000	140970.0000
31107	11210003	53035.0000
31107	11212000	1996.0000
31107	11210004	87935.0000
23000	11211100	10423.0000
23000	11210000	79416.0000
23000	11210003	40866.0000
23000	11212000	30443.0000
23000	11210004	38550.0000
41011	11211100	7667.0000
41011	11210000	25605.0000
41011	11210003	11491.0000
41011	11212000	3824.0000
41011	11210004	14114.0000
42013	11211100	2188.0000
42013	11210000	39222.0000
42013	11210003	20895.0000
42013	11212000	18707.0000
42013	11210004	18327.0000
47125	11211100	12326.0000
47125	11210000	21614.0000
47125	11210003	12365.0000
47125	11212000	39.0000
47125	11210004	9249.0000
13163	11211100	4125.0000
13163	11210000	14776.0000
13163	11210003	7380.0000
13163	11212000	3255.0000
13163	11210004	7396.0000
16065	11211100	6466.0000
16065	11210000	13738.0000
16065	11210003	6683.0000
16065	11212000	217.0000
16065	11210004	7055.0000
39059	11211100	10547.0000
39059	11210000	18823.0000
39059	11210003	11066.0000
39059	11212000	519.0000
39059	11210004	7757.0000
46009	11211100	14190.5600
46009	11210000	51634.0000
46009	11210003	14533.0000
46009	11212000	342.4400
46009	11210004	37101.0000
55009	11211100	2664.0000
55009	11210000	125470.0000
55009	11210003	47894.0000
55009	11212000	45230.0000
55009	11210004	77576.0000
26077	11211100	1288.0000
26077	11210000	17677.0000
26077	11210003	9693.0000
26077	11212000	8405.0000
26077	11210004	7984.0000
13283	11211100	543.0000
13283	11210000	1300.0000
13283	11210003	560.0000
13283	11212000	17.0000
13283	11210004	740.0000
46097	11211100	20041.1300
46097	11210000	47513.0000
46097	11210003	20317.0000
46097	11212000	275.8700
46097	11210004	27196.0000
16043	11211100	8701.0000
16043	11210000	13879.0000
16043	11210003	9494.0000
16043	11212000	793.0000
16043	11210004	4385.0000
31075	11211100	23009.0000
31075	11210000	35721.0000
31075	11210003	23009.0000
31075	11210004	12712.0000
35017	11211100	19432.0000
35017	11210000	27059.0000
35017	11210003	19483.0000
35017	11212000	51.0000
35017	11210004	7576.0000
33000	11211100	4654.0000
33000	11210000	35323.0000
33000	11210003	17772.0000
33000	11212000	13118.0000
33000	11210004	17551.0000
48501	11211100	3768.0000
48501	11210000	9112.0000
48501	11210003	3768.0000
48501	11210004	5344.0000
06027	11211100	7699.3100
06027	11210000	12709.0000
06027	11210003	7705.0000
06027	11212000	5.6900
06027	11210004	5004.0000
28121	11211100	10861.0000
28121	11210000	20047.0000
28121	11210003	10861.0000
28121	11210004	9186.0000
17029	11211100	2083.0000
17029	11210000	4007.0000
17029	11210003	2193.0000
17029	11212000	110.0000
17029	11210004	1814.0000
47115	11211100	5413.8900
47115	11210000	9523.0000
47115	11210003	5419.0000
47115	11212000	5.1100
47115	11210004	4104.0000
13229	11211100	1329.0000
13229	11210000	2716.0000
13229	11210003	1621.0000
13229	11212000	292.0000
13229	11210004	1095.0000
24025	11211100	5198.0000
24025	11210000	9115.0000
24025	11210003	6796.0000
24025	11212000	1598.0000
24025	11210004	2319.0000
29041	11211100	21249.6800
29041	11210000	39695.0000
29041	11210003	21299.0000
29041	11212000	49.3200
29041	11210004	18396.0000
22000	11211100	469483.0000
22000	11210000	801163.0000
22000	11210003	481811.0000
22000	11212000	12328.0000
22000	11210004	319352.0000
51181	11211100	848.7200
51181	11210000	1618.0000
51181	11210003	860.0000
51181	11212000	11.2800
51181	11210004	758.0000
51187	11211100	3288.0000
51187	11210000	6440.0000
51187	11210003	3294.0000
51187	11212000	6.0000
51187	11210004	3146.0000
40087	11211100	24717.0000
40087	11210000	51417.0000
40087	11210003	25096.0000
40087	11212000	379.0000
40087	11210004	26321.0000
41033	11211100	1981.3000
41033	11210000	5373.0000
